publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason,matched_rare_event_terms
US-2026099762-A1,US,A1,99313424,US-202418908816-A,20260409,20241008,Generation of new artificial intelilgence modles for edge case driving scenarios,"A method of generating artificial intelligence (AI) models for driving related scenarios, the method includes (a) generating, by using driving related data, a database of driving scenarios, the generating involves clustering the driving related data in accordance with the driving scenarios; and holding, in the database, the clustered data in association with corresponding driving scenarios; (b) creating, by using the clustered data, a dictionary of concept signatures; and (c) training, by using the database of driving scenarios, a set of AI models, the training of each AI model is based on the clustered data stored in the database in accordance with a specified driving scenario, to provide a decision making with respect to the specified driving scenario.",AUTOBRAINS TECH LTD,RAICHELGAUZ IGAL,B60W60/001 | H04W4/38 | G06F16/285 | G06N20/00 | G06F16/285 | G06N20/00,G06F16/28 | G06N20/00,general,5,AutoBrains: エッジケース走行シナリオ向けの新しいAIモデル生成。走行データをクラスタリングしエッジケースDBを構築しモデルを訓練。目的に極めて合致,edge case
US-12583477-B2,US,B2,88648122,US-202217740251-A,20260324,20220509,Autonomous vehicle validation using real-world adversarial events,"Provided are methods, systems, and computer program products for autonomous vehicle validation using real-world adversarial events are described herein. The method includes obtaining a record of human driver data and extracting at least one safety critical scenario from the record to create a test data set associated with operation of vehicles by human drivers during safety critical scenarios. The method includes simulating operation of a vehicle under evaluation during safety critical scenarios and comparing a response of the vehicle under evaluation to the operation of vehicles by human drivers. The method further includes validating a response of the vehicle under evaluation during the simulated operation according to the test data set by transforming the vehicle response into a safety indicator.",MOTIONAL AD LLC,BIN-NUN AMITAI | TEBBENS RADBOUD DUINTJER | COLLIN ANNE | LIZARAZO JIMENEZ CRISTHIAN GUILLERMO,B60W30/0956 | B60W2556/10 | B60W2556/20 | G06F30/15 | B60W2556/20 | B60W30/0956 | B60W2556/10 | G06F30/20 | B60W60/0015 | B60W60/0015 | B60W2556/20 | B60W2556/10 | B60W30/0956 | B60W60/0015,B60W30/095 | B60W60/00,general,5,Motional: 実世界のアドバーサリアルイベントから安全クリティカルシナリオを抽出しAV応答を検証。目的に極めて合致,critical scenario
US-12570318-B1,US,B1,99012502,US-202418753800-A,20260310,20240625,Auto-calibration for personalized self-driving experience,"An apparatus comprising an interface and a processor. The interface may receive baseline driving data of a driver, pixel data of an environment near a vehicle and vehicle navigation input from the driver. The processor may initialize a programmable driving stack for the vehicle in response to the baseline driving data of the driver, monitor for intervention events from the driver, determine edge case parameters for the driver in response to an analysis of the intervention events, generate a personalized driving model for the driver in response to the baseline driving data and the edge case parameters and update the programmable driving stack using the personalized driving model. The analysis of the intervention events may comprise the video-to-text analysis of the video frames to generate a text description of the environment. An AI model may generate the edge case parameters in response to the text description.",AMBARELLA INT LP,BLOOMQUIST JR ROBERT DALE,G10L15/183 | G10L15/22 | B60W2556/10 | B60W50/06 | B60W60/0013 | B60W2050/0083 | B60W2050/0075 | B60W50/14 | B60W2050/0088 | G06V20/58 | G06V20/41 | B60W2420/403 | G06F40/40 | G10L15/22 | B60W2050/0083 | B60W50/06 | G06F40/40 | B60W2420/403 | G10L15/183 | G06V20/58 | G06V20/41 | B60W60/0013 | B60W2420/403 | B60W2050/0083 | G10L15/22 | G10L15/183 | G06V20/58 | G06V20/41 | G06F40/40 | B60W50/06 | B60W60/0013,G10L15/22 | G10L15/183 | G06V20/58 | G06V20/40 | G06F40/40 | B60W50/06 | B60W50/00 | B60W60/00,general,4,Ambarella: 運転介入イベントからエッジケースパラメータを特定しパーソナライズド運転モデルを生成。エッジケース抽出に合致,edge case
CN-114723246-B,CN,B,82239434,CN-202210293758-A,20260224,20220323,Power system risk detection method for resampling of parallel Markov chain Monte Carlo,"The invention discloses a power system risk detection method and device based on parallel Markov chain Monte Carlo resampling, wherein the method comprises the steps of defining a risk index, generating sample variables according to power equipment running states and load power losses, simulating according to the Markov chain Monte Carlo method through parallel threads, obtaining a first sample set and a second sample set based on the sample variable simulation, obtaining classification distribution parameters based on the first sample set, obtaining normal distribution parameters based on the second sample set, obtaining an ideal probability density function according to the classification distribution parameters and the normal distribution parameters, and obtaining a risk index importance sampling expression based on the ideal probability density function. The invention shortens the sample collection time and improves the overall calculation efficiency.",,,Y04S10/50 | G06F18/241 | G06N7/01 | G06F17/18 | G06F30/20 | G06Q50/06 | G06Q10/0639 | G06Q10/0635,G06Q50/06 | G06Q10/0639 | G06N7/01 | G06F30/20 | G06F18/2415 | G06F18/20 | G06F17/18 | G06Q10/0635,general,4,並列マルコフ連鎖モンテカルロ再サンプリングによる電力系統リスク検出。重要度サンプリングでリスク指標を算出(エネルギー分野),importance sampling
US-2026048753-A1,US,A1,94649388,US-202519300635-A,20260219,20240815,"Method, system, apparatus, and medium for generating critical scenarios in autonomous driving tests","A method, system, apparatus, and medium for generating critical scenarios in autonomous driving tests are provided. The method includes: generating an initial scenario based on a lane-coordinate system; constructing a one-way single-lane car-following scenario, specifically including: creating a road and vehicles based on the initial scenario, the vehicles including an autonomous vehicle controlled by an intelligent driving model (IDM) and an agent vehicle; constructing a one-way dual-lane cut-in scenario, specifically including: creating a dual-lane road and vehicles based on the initial scenario, the vehicles including an autonomous vehicle controlled by the IDM model and an intelligent-agent vehicle; and generating, based on the constructed one-way single-lane car-following scenario and the constructed one-way dual-lane cut-in scenario, critical scenarios for autonomous-vehicle testing. The method efficiently and accurately produces critical scenarios for autonomous-driving systems, thereby accelerating the testing and verification of their performance and safety in complex, high-risk environments.",CHANGAN UNIV,HAO RURU | ZHOU ZHOU | ZHANG DIFEI | ZHANG LICHENG | QIU RONGTAO | CHENG XIN | LI YI | WANG ZHISHUN | SHANG XUMING | WANG JIAHUI,B60W30/12 | B60W30/18163 | B60W60/001 | B60W2050/0031 | B60W50/0098 | B60W50/045 | G06F30/20 | B60W2720/106 | B60W2554/802 | B60W2554/804 | B60W2552/10 | B60W2554/4041 | G06F30/15 | B60W2720/106 | B60W2050/0031 | B60W50/0098 | B60W30/18163 | B60W30/12 | B60W2552/10 | B60W60/001 | B60W2554/802 | B60W2554/804 | B60W2554/4041 | G06F30/15 | Y02T10/40 | G06F2111/08 | G06F2111/10 | G06F2111/04 | G06N3/092 | G06F30/15 | B60W50/045 | G06F30/27 | B60W2720/106 | B60W2554/804 | B60W2554/802 | B60W2554/4041 | B60W2552/10 | B60W2050/0031 | B60W30/18163 | B60W30/12 | G06F30/15 | B60W60/001 | B60W50/0098 | B60W50/045,G06F30/15 | B60W60/00 | B60W50/00 | B60W30/18 | B60W30/12 | B60W50/04,general,5,長安大学: 自動運転テスト向けクリティカルシナリオ(追従・割込み)の生成手法。高リスク環境でのテスト加速に直結、目的に極めて合致,critical scenario
CN-121543473-A,CN,A,98754775,CN-202511201551-A,20260217,20250826,Bionic-driven soil infiltration process simulation optimization method,"The invention discloses a simulated optimization method of a bionic-driven soil infiltration process, which comprises the steps of preprocessing and standardizing multisource data, enabling a root voxel unit to correspond to a hydraulic response of a specific time step through a space-time registration unified coordinate system, constructing a model framework integrating root characteristics and infiltration dynamics, realizing bidirectional mapping of spatial characteristics and time characteristics through a cross-modal fusion cross-attention mechanism module, embedding physical constraints, training and optimizing the model through a staged course learning strategy, adjusting learning rate through a physical perception optimizer, combining importance sampling with anti-training and improving model generalization capability, outputting a priority flow prediction result based on the trained model, and analyzing the prediction result from microscopic, mesoscopic and macroscopic scales through an interpreter. Therefore, the method has the advantages of high prediction precision, strong applicability, low parameter acquisition cost, introduction of a dynamic mechanism, physical rationality and the like.",,,G06F2119/14 | G06F2113/08 | G06N3/098 | G06N3/0985 | G06N3/084 | G06N3/0464 | G06N3/0442 | G06N3/045 | G06F30/27 | G06F30/28,G06N3/0985 | G06N3/098 | G06N3/084 | G06N3/0464 | G06N3/045 | G06N3/0442 | G06F119/14 | G06F113/08 | G06F30/27 | G06F30/28,general,2,バイオニック土壌浸透シミュレーション、重要度サンプリング+敵対的学習を用いるが予測精度向上が主眼,importance sampling
CN-116054780-B,CN,B,86125028,CN-202310000323-A,20260210,20230102,Particle filtering method based on state track clustering similarity and application,"The invention provides a particle filtering method based on state track clustering similarity and application thereof, comprising the steps of S1, initializing, S2, assuming prior probability density distribution as an importance probability density function, namely proposing distribution to guide particles to conduct sequential importance sampling, further recursively calculating importance weights of sampled particles, S3, combining a system real state and sampled particle state track consistency principle, conducting similarity measurement on current filtering and future multi-stage Gaussian filtering prediction measurement information by utilizing a data mining idea-clustering analysis method, S4, modifying proposition distribution in S2 by utilizing the similarity measurement of the step S3, S5, updating importance weight calculation in sequential importance sampling in the step S2 through the proposition distribution modified in the step S4, normalizing the particle weights, further obtaining an estimated value of the system state at the current moment, and S6, repeating the steps S2-S5, and sequentially outputting estimated values of the system state at different moments. Which is capable of improving the particle degradation phenomenon.",,,G06F2119/04 | G06F2111/08 | G06F30/27 | H03H17/0255,G06F119/04 | G06F111/08 | G06F30/27 | G06F18/23 | H03H17/02,general,2,状態軌跡クラスタリング類似度に基づく粒子フィルタ、重要度サンプリング。推定手法でレアイベント訓練データ生成ではない,importance sampling
CN-121502976-A,CN,A,98671024,CN-202411090267-A,20260210,20240809,Rare event sensitivity calculation method and system for comprehensive energy system,"The invention discloses a method and a system for calculating rare event sensitivity of a comprehensive energy system, which sequentially establish a probability energy flow model of the comprehensive energy system, establish a characterization model of the rare event of the comprehensive energy system considering uncertainty of a random source model, decompose the rare event into larger probability events by adopting subset simulation, reduce the number of samples, accelerate the estimation of the rare event, lighten the calculation load, establish a multi-chaos agent model of the rare event probability, reduce the number of samples required by high-efficiency global sensitivity, and calculate the uncertain global sensitivity of the model parameters of the comprehensive energy system according to the rare event probability.",,,G06F2113/04 | G06F2119/08 | G06F2113/14 | G06F2111/08 | G06F30/20,G06F119/08 | G06F113/14 | G06F113/04 | G06F111/08 | G06F30/20,general,5,総合エネルギーシステムのレアイベント感度計算。サブセットシミュレーションでレアイベントを分解しマルチカオス代理モデルで確率を算出。目的に極めて合致(エネルギー分野),rare event
CN-119206085-B,CN,B,94054348,CN-202411415830-A,20260109,20241011,Tree structure-based light source drawing method and device for light files,"The invention discloses a method and a device for drawing a light source of a light file based on a tree structure, wherein the method comprises the steps of dividing a three-dimensional space and a light emitting direction of light emitting rays in the light file, constructing the tree structure, regarding an enclosure of each leaf node of the tree structure as an implicit light source, updating enclosure data in the tree structure from bottom to top according to the implicit light source, and carrying out importance sampling and light emitting radiance calculation by using the updated tree structure in ray tracing drawing or optical simulation. The light source representation mode of the light file has the characteristics of high preprocessing speed, small occupied memory space and capability of representing high-frequency light file data.",,,G06T2210/12 | G06F30/20 | G06T15/506 | G06T15/06 | G06T17/005,G06T15/50 | G06T15/06 | G06F30/20 | G06T17/00,general,2,光源ツリー構造描画、重要度サンプリング(レイトレーシング)。グラフィックス手法でレアイベント訓練データ生成ではない,importance sampling
CN-121180214-A,CN,A,97915866,CN-202510822259-A,20251223,20240620,"Method for operating a computer-implemented motor vehicle, computer program and electronically readable data carrier","A computer-implemented method for operating a motor vehicle (6), wherein a scenario of a driving operation is predicted using a trained prediction function (14) which predicts a scenario of at least one upcoming edge case category as output data from input data comprising operational data available in the motor vehicle (6) for an autonomous driving function of the fully automated guided vehicle, wherein the input data further comprises detection data (1) comprising an environmental perception result with an environmental sensor (9) and/or an own perception result with an own detection device (12) in the motor vehicle.",AUDI AG,BOUZOURAA MOHAMED ESSAYED,G06N3/045 | G06N3/0464 | G06N3/088 | G06N20/00 | B60W2050/0088 | B60W2756/10 | B60W2050/046 | G06N3/08 | B60W60/001,B60W50/00 | B60W40/02,general,4,Audi: 訓練された予測関数で今後のエッジケースカテゴリのシナリオを予測。自動運転向けエッジケース予測に合致,edge case
