Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Instant fuel economy (MPG), Fuel rate (gal/hr), Input voltage read by the scan tool (V), Engine Power (hp), Trip Distance (miles), Trip Fuel (gal), Trip Duration (min), Hard Brake Count, Hard Accel Count, Idling Count, Seconds Idling (sec), Accel X (ft/s²), Accel Y (ft/s²), Accel Z (ft/s²), Accel (Grav) X (ft/s²), Accel (Grav) Y (ft/s²), Accel (Grav) Z (ft/s²), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Intake air temperature (°F), Absolute throttle position (%), O2 voltage (Bank 1  Sensor 1) (V), O2 voltage (Bank 1  Sensor 2) (V), Distance traveled while MIL is activated (miles), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Torque (lb•ft), Altitude (ft), Bearing (deg), GPS Speed (MPH), Horz Accuracy (ft)
0,41.53187,-93.64718,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.8643786,1.979181,-0.5310296,1.972768,-21.08067,-25.53205,2.121597,4.580688,-0.3698425,-2.391555,-53.69676,38.89452,-12.51857,-34.9025,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,945.2773,287.9992,3.814958,160.7037
0.961,41.5319,-93.6474,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.1029496,-0.2925944,-0.09704836,2.603837,-19.6933,-25.02571,0.1458282,6.082855,8.108688,-3.757125,-52.06239,38.03883,-14.78893,-32.10516,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,947.7897,282.6185,5.374192,129.3667
1.957,41.53199,-93.64748,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.107451,-0.7797237,0.7554185,4.653217,-18.69832,-26.14249,-2.280685,10.11682,14.75346,-3.704074,-53.68306,37.05401,-18.20915,-30.4407,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,949.8763,274.408,4.571951,120.0263
2.953,41.53206,-93.64774,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-2.075789,-0.3169647,-0.2272009,7.056193,-18.68261,-25.53941,-1.969437,12.91977,15.47397,-3.635527,-53.48551,33.20811,-22.63332,-27.8844,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.3176,260.0602,5.374192,93.34471
4.003,41.53212,-93.6479,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.380759,-1.054237,-0.789196,7.309112,-17.74558,-25.08612,-0.7058563,16.91635,15.73297,-3.364296,-52.59517,29.38234,-26.20867,-23.39584,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.9898,206.1837,5.268763,59.71444
4.956,41.5321,-93.64791,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.9747361,1.850528,-0.1610335,4.092376,-20.99718,-25.55021,0.7907867,3.111099,7.439224,-4.397827,-52.06092,24.29176,-28.26124,-22.06924,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.8524,192.9873,6.297328,49.38148
5.953,41.53206,-93.64792,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,2.049424,-0.01133049,-0.5571731,0.9463589,-19.81067,-24.8278,-1.839233,-1.052887,2.648102,-3.359552,-51.35994,21.11909,-29.02776,-21.88498,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.179,190.5988,7.866346,41.92768
6.907,41.53204,-93.64791,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-0.1556601,-0.4177076,0.333076,2.187872,-19.30729,-25.72554,1.254135,0.4083405,-2.455597,-2.941991,-52.13926,21.8486,-29.44376,-23.30591,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.3367,181.4277,7.866346,37.1259
7.859,41.53199,-93.6479,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.9164398,0.2111407,0.2771485,0.4709694,-19.39225,-26.32616,0.7466888,1.187195,2.081573,-1.337613,-53.68103,19.94565,-28.31992,-24.84509,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.4596,182.3596,9.447486,33.19588
8.804,41.53196,-93.64788,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.3112446,1.284658,-1.759995,0.6286141,-20.53358,-25.10184,29.44208,0.7814178,15.12707,-0.2962959,-47.59244,19.80806,-35.06056,-23.91086,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.6018,181.7343,10.21296,30.47745
9.76,41.53191,-93.64789,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,1.374124,2.638373,-4.777269,-2.356812,-24.89999,-17.95528,8.351471,0.7815552,-3.723953,4.237874,-34.21982,12.78836,-47.14504,-16.96841,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.4916,182.3203,10.08639,29.09124
10.778,41.53186,-93.6479,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.329548,1.841909,-0.4902816,-0.09036327,-26.60609,-19.62307,-2.814407,-2.474746,-6.547607,0.8479376,-35.73312,17.63988,-44.23996,-13.0365,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.3114,185.0576,10.08639,39.52214
11.66,41.53182,-93.64791,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.538118,-2.740385,4.228943,0.4085991,-21.74808,-24.11668,-17.93564,0.6581421,-30.63544,-3.282085,-42.12003,23.87037,-37.69839,-16.26309,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.9189,185.8446,9.07484,47.1738
12.662,41.53178,-93.64792,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-3.338592,-2.556639,2.694481,5.362373,-19.31368,-25.9156,4.329819,1.050034,-14.61232,-8.982989,-51.66664,29.59946,-24.55401,-19.78354,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.919,185.8446,9.07484,47.1738
13.665,41.53175,-93.64792,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.018863,-0.1262877,0.5765565,3.792311,-20.24088,-25.26194,-0.09355164,-12.66258,-2.787704,-5.364933,-52.13079,29.96863,-24.28838,-22.71643,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.1471,185.0617,8.404496,26.24016
14.665,41.53172,-93.64794,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.6848398,2.043365,-0.9442157,1.561222,-22.95866,-23.87653,3.372498,-2.905716,0.5211487,-2.654408,-49.98134,30.24844,-25.64579,-23.36105,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.1721,196.6696,9.07484,24.68747
15.668,41.53168,-93.64797,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-3.301535,-1.267494,-1.143808,5.745434,-19.98502,-22.82606,7.262969,14.1317,-18.23967,-4.980319,-49.32895,32.71214,-23.57126,-24.06976,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,950.7014,202.8096,9.508201,21.65773
16.668,41.53165,-93.648,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-3.049371,0.2045545,-0.5449822,8.679785,-21.18086,-23.10206,0.7441254,6.358017,4.07605,-9.137775,-50.64183,33.40281,-21.38107,-23.94949,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.7227,210.2622,9.918711,25.77851
17.665,41.53161,-93.64803,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,0.2828298,-2.571472,0.5643607,6.704562,-18.08248,-24.45014,0.8105164,7.949417,5.939514,-9.501369,-50.02615,29.25359,-24.01723,-21.57455,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.2059,205.4964,9.508201,23.3782
18.657,41.53157,-93.64804,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,-1.844982,-0.08403144,-0.3240187,9.835355,-20.35727,-23.4807,-3.549774,7.048798,9.173126,-12.46608,-49.18227,27.74158,-24.84266,-21.10785,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.1638,198.3118,9.918711,34.1027
19.789,41.53152,-93.64805,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,0,0,0,4.442257,-0.3414291,1.027701,1.511129,-19.89564,-25.42056,-1.233521,-3.100861,8.372879,-8.146622,-49.63985,22.52171,-27.66498,-22.02847,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,0,0.7911571,-8.412189,-0.04874019,31.08301,951.2537,190.6292,12.5004,33.87505
