publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
US-12530625-B2,US,B2,94258957,US-202318377274-A,20260120,20230719,Vehicle occupant health monitoring application,"An example operation includes one or more of accessing, by an application providing assistance to a vehicle, sensor data associated with an environment inside and outside of a vehicle and profile data associated with a vehicle occupant, determining, by the application, an initial condition of the vehicle occupant based on the sensor data and the profile data, responsive to the initial condition being above a health condition threshold, accessing, by the application, health data associated with the vehicle occupant from a mobile device, determining, by the application, an updated condition of the vehicle occupant based on the health data, creating, by the application, an alert to notify the occupant based on the updated condition and one or more current driving conditions of the vehicle identified by the sensor data, and performing, by the vehicle, one or more vehicle actions based on the alert and the one or more current driving conditions.",TOYOTA MOTOR NORTH AMERICA INC | TOYOTA MOTOR CO LTD,ZAHID IMAD | JHA SUMIT K | NAGPAL ANIL | BATIE JOSHUA C | RAJENDRA NIKHIL,G01C21/3874 | G01C21/3896 | G01C21/3841 | B60W2540/043 | B60W2540/215 | B60W2050/146 | B60W2050/143 | B60W2050/009 | B60W50/14 | B60W50/0097 | B60W60/0015 | B60R11/04 | G06V20/597 | B60R21/01532 | G08G1/096783 | G08G1/096716 | G08G1/0125 | H04L1/1809 | H04W76/15 | G08G1/09626 | B60W40/08 | B60W2540/221 | H04W64/003 | G08G1/0116 | G08G1/0112 | G01C21/28 | G01C21/3617 | G08G1/0125 | G08G1/0112 | G06V20/597 | B60R21/01532 | H04W76/15 | G06N20/00 | B60R11/04 | G08G1/0116 | G08G1/096783 | H04W64/003 | G08G1/096716 | B60W2540/043 | B60W2540/221 | B60W2540/215 | G06N20/00 | G08G1/09626 | B60W2540/221 | B60W2540/215 | B60W2540/043 | B60W2050/146 | B60W2050/143 | B60W2050/009 | H04W76/15 | H04W64/003 | H04L1/1809 | G08G1/096783 | G08G1/096716 | G08G1/09626 | G08G1/0125 | G08G1/0116 | G08G1/0112 | G06V20/597 | G01C21/3896 | G01C21/3874 | G01C21/3841 | G01C21/28 | B60W60/0015 | B60W50/14 | B60W50/0097 | B60W40/08 | B60R21/01532 | B60R11/04 | G06N20/00,H04W76/15 | H04W64/00 | H04L1/1809 | G08G1/0967 | G08G1/0962 | G08G1/01 | G06N20/00 | G01C21/28 | G01C21/00 | B60W60/00 | B60W50/14 | B60W50/00 | B60W40/08 | B60R21/015 | B60R11/04 | G06V20/59,toyota,1,「initial condition」は乗員の初期健康状態を指す一般用語で、物理シミュレーションとは無関係な誤マッチ
US-2025298935-A1,US,A1,97105500,US-202418612389-A,20250925,20240321,Methods for designing broadband noise and vibration absorbing meta-structures,"A method includes defining a design domain for a meta-element configured to be attached to an edge of thin wall structure with an arbitrary boundary condition, and executing a topological optimization process on the design domain and providing a topology optimized shape for the meta-element. The topological optimization process includes an objective function that minimizes a reflection coefficient of flexural waves in the audible frequency range propagating towards and impinging the meta-element.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD,LI XIAOPENG | LEE TAEHWA,G06F30/17 | G06F30/15 | G06F30/23 | G06F2119/10 | G06F30/20 | G06F2119/10 | G06F30/20 | G06F2119/10 | G06F30/20,G06F119/10 | G06F30/20,toyota,2,境界条件を用いたトポロジー最適化で騒音吸収構造を設計。物理ベースだが設計最適化目的でレアイベント生成ではない
WO-2025198616-A1,WO,A1,97105500,US-2024029938-W,20250925,20240321,Methods for designing broadband noise and vibration absorbing meta-structures,"A method includes defining a design domain for a meta-element configured to be attached to an edge of thin wall structure with an arbitrary boundary condition, and executing a topological optimization process on the design domain and providing a topology optimized shape for the meta-element. The topological optimization process includes an objective function that minimizes a reflection coefficient of flexural waves in the audible frequency range propagating towards and impinging the meta-element.",TOYOTA MOTOR CO LTD,LI XIAOPENG | LEE TAEHWA,G06F30/17 | G06F30/15 | G06F30/23 | G06F2119/10 | G06F30/20 | G06F2119/10 | G06F30/20,G06F119/10 | G06F30/23 | G06F30/17 | F16F15/02 | G10K11/162,toyota,2,同上(WO版の重複)
US-12358532-B2,US,B2,90360831,US-202217945253-A,20250715,20220915,Systems and methods for online monitoring using a neural model by an automated vehicle,"Systems, methods, and other embodiments described herein relate to estimating reachable states for a vehicle using a neural model. In one embodiment, a method includes generating an unverified command by a first controller and a safety command by a second controller for a projected path by an automated driving system (ADS) associated with a vehicle. The method also includes estimating reachable states by a neural network (NN) model that uses the unverified command and an initial condition for the vehicle, the reachable states representing positions and orientations for the vehicle within a bounded time and a state space associated with the initial condition and the projected path. The method also includes, upon determining that the reachable states satisfy collision criteria, executing by the vehicle a maneuver with the safety command for the projected path and generating subsequent commands using vehicle data from the first controller and the second controller.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD | UNIV NEWCASTLE,HOXHA BARDH | YAMAGUCHI TOMOYA | HEKAL ABDELRAHMAN | BOGOMOLOV SERGIY,B60W30/0953 | B60W2552/05 | B60W2520/10 | B60W30/18163 | B60W2554/802 | B60W2510/20 | B60W50/0097 | B60W50/0098 | G06N3/08 | B60W30/16 | B60W30/18163 | B60W2050/0006 | B60W30/18159 | B60W30/0953 | B60W30/09 | B60W60/0015 | G06N3/08 | B60W60/0015 | G06N3/045 | B60W2554/802 | B60W2552/05 | B60W2520/10 | B60W2510/20 | B60W30/18163 | B60W30/0953 | G06N3/08 | B60W50/0098 | B60W50/0097 | B60W60/0015,G06N3/08 | B60W50/00 | B60W30/18 | B60W30/095 | B60W60/00,toyota,3,ニューラルモデルで到達可能状態を推定し衝突基準判定するオンライン安全監視。安全クリティカルな状態推定に関連するが訓練データ生成ではない
US-2025083694-A1,US,A1,94874210,US-202318465935-A,20250313,20230912,Systems and methods for formal verification of corner cases for autonomous vehicles,"Systems and methods are provided that implement virtual dataset creation and formal verification for artificial Intelligence (AI)/Machine Learning (ML) models in a manner that improves the performance of AI/ML models when encountering corner cases. For example, a corner case correction system is configured to synthesize new samples by recontextualizing samples related to corner cases, in new environments. The corner case correction system can implement an energetic neural process which separates input data into contextual features and content, and then recombines the context and content to synthesize new samples, generating a virtual dataset. The energetic neural process also performs a formal verification of the AI/ML models to address noise in the virtual dataset. The AI/ML model is trained using the virtual dataset, and an updated AI/ML model is created to execute predictive analysis for the corner cases associated with driving environments of autonomous vehicles.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD,SANCHEZ JUSTIN | GUPTA ROHIT | AMMAR NEJIB | GANLATH AKILA C | MISHRA SHATADAL,B60W60/001 | G06N3/08 | G06N20/00 | G06N3/045 | G06N20/00 | B60W60/001 | G06N20/00 | B60W60/001,B60W60/00,toyota,5,コーナーケース向けに仮想データセットを生成+形式検証。文脈と内容を再構成して新サンプルを合成しAI/MLモデルを再訓練。目的に極めて合致
US-2025029488-A1,US,A1,94258957,US-202318377274-A,20250123,20230719,Vehicle occupant health monitoring application,"An example operation includes one or more of accessing, by an application providing assistance to a vehicle, sensor data associated with an environment inside and outside of a vehicle and profile data associated with a vehicle occupant, determining, by the application, an initial condition of the vehicle occupant based on the sensor data and the profile data, responsive to the initial condition being above a health condition threshold, accessing, by the application, health data associated with the vehicle occupant from a mobile device, determining, by the application, an updated condition of the vehicle occupant based on the health data, creating, by the application, an alert to notify the occupant based on the updated condition and one or more current driving conditions of the vehicle identified by the sensor data, and performing, by the vehicle, one or more vehicle actions based on the alert and the one or more current driving conditions.",TOYOTA MOTOR NORTH AMERICA INC | TOYOTA MOTOR CO LTD,ZAHID IMAD | JHA SUMIT K | NAGPAL ANIL | BATIE JOSHUA C | RAJENDRA NIKHIL,G01C21/3617 | G08G1/0125 | G08G1/0112 | G06V20/597 | B60R21/01532 | H04W76/15 | G06N20/00 | B60R11/04 | G08G1/0116 | G08G1/096783 | H04W64/003 | G08G1/096716 | B60W2540/043 | B60W2540/221 | B60W2540/215 | G08G1/09626 | G01C21/3874 | G01C21/3896 | G01C21/3841 | B60W2540/043 | B60W2540/215 | B60W2050/146 | B60W2050/143 | B60W2050/009 | B60W50/14 | B60W50/0097 | B60W60/0015 | B60R11/04 | G06V20/597 | B60R21/01532 | G08G1/096783 | G08G1/096716 | G08G1/0125 | H04L1/1809 | H04W76/15 | G08G1/09626 | B60W40/08 | B60W2540/221 | H04W64/003 | G08G1/0116 | G08G1/0112 | G01C21/28 | G06N20/00 | B60W2540/221 | B60W40/08 | G08G1/09626,B60W40/08 | G08G1/0962,toyota,1,乗員健康モニタリング(重複)。誤マッチ
CN-118810815-A,CN,A,93063414,CN-202310410978-A,20241022,20230417,"Automatic driving strategy selection method, system, electronic equipment and storage medium","The application discloses an automatic driving strategy selection method, an automatic driving strategy selection system, electronic equipment and a storage medium, wherein the automatic driving strategy selection method comprises the following steps: acquiring first scene information of a current driving scene of the automatic driving vehicle, wherein the first scene information comprises first state information of the automatic driving vehicle and second state information of traffic participants; based on the first state information, formulating a plurality of driving strategies with different conservation degrees to form a driving strategy set; based on the second state information, determining the safety risk of the automatic driving vehicle adopting each driving strategy, and generating risk information for representing the safety risk degree; and selecting a driving strategy with safety risk meeting safety conditions from the driving strategy set based on the risk information as a target driving strategy of the automatic driving vehicle for coping with the current driving scene. Therefore, even if the driver faces a long tail scene, a driving strategy with relatively low safety risk can be selected, and the driving safety of the automatic driving vehicle can be ensured to a certain extent.",TOYOTA MOTOR CORP | UNIV TSINGHUA,YANG DIANGE | ZHOU WEITAO | CAO ZHONG | JIANG KUN | Deng nanshan | LIU XIAOYU,B60W60/0015,B60W60/00,toyota,4,自動運転の走行戦略選択で明示的に'long tail scene'に言及し安全リスクに基づき戦略を選択。目的に合致するが動的意思決定でオフラインデータ生成ではない
US-12037008-B2,US,B2,88240711,US-202217715566-A,20240716,20220407,Systems and methods for communicating a blending parameter,"System, methods, and other embodiments described herein relate to communicating a blending parameter. In one embodiment, a method includes obtaining a blending parameter that is indicative of a degree to which control of a vehicle is shared between an operator of the vehicle and an advanced driver-assistance system (ADAS) of the vehicle. The method further includes determining a feedback parameter based upon the blending parameter and a psychophysical model, wherein the psychophysical model optimizes a relationship between the blending parameter and the feedback parameter such that sensory feedback based upon the feedback parameter is perceived to be proportional to the blending parameter. The method further includes causing a feedback modality of a steering apparatus of the vehicle to provide the sensory feedback based upon the feedback parameter.",TOYOTA RES INST INC | TOYOTA MOTOR CO LTD,KUEHNER MANUEL LUDWIG | YASUDA HIROSHI | PITA GIL GUILLERMO,B60W10/30 | B60W2540/221 | B60W2555/20 | B60W2510/20 | B60W10/20 | B60W30/0953 | B62D15/0265 | B60W60/001 | B60W2050/146 | B60W50/14 | B60W2540/221 | B60W2050/0008 | B60W30/09 | B60W2540/18 | B60W10/20 | B60W2050/0029 | B60W50/16 | B60W50/16 | B60W2555/20 | B60W2540/221 | B60W2510/20 | B60W30/0953 | B60W10/30 | B60W10/20 | B60W50/16,B60W30/095 | B60W10/30 | B60W10/20 | B60W50/16,toyota,1,'psychophysical model'が'physical model'の部分一致で誤マッチ。運転支援の制御権限配分でレアイベントと無関係
US-2024101153-A1,US,A1,90360831,US-202217945253-A,20240328,20220915,Systems and methods for online monitoring using a neural model by an automated vehicle,"System, methods, and other embodiments described herein relate to estimating reachable states for a vehicle using a neural model. In one embodiment, a method includes generating an unverified command by a first controller and a safety command by a second controller for a projected path by an automated driving system (ADS) associated with a vehicle. The method also includes estimating reachable states by a neural network (NN) model that uses the unverified command and an initial condition for the vehicle, the reachable states representing positions and orientations for the vehicle within a bounded time and a state space associated with the initial condition and the projected path. The method also includes, upon determining that the reachable states satisfy collision criteria, executing by the vehicle a maneuver with the safety command for the projected path and generating subsequent commands using vehicle data from the first controller and the second controller.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD | UNIV NEWCASTLE,HOXHA BARDH | YAMAGUCHI TOMOYA | HEKAL ABDELRAHMAN | BOGOMOLOV SERGIY,B60W30/0953 | B60W60/0015 | B60W50/0097 | B60W50/0098 | G06N3/08 | B60W30/18163 | B60W2552/05 | B60W2554/802 | B60W60/0015 | G06N3/08 | B60W50/0098 | B60W50/0097 | B60W2510/20 | B60W2554/802 | B60W30/18163 | B60W2520/10 | B60W2552/05 | G06N3/045 | G06N3/08 | B60W60/0015 | B60W30/09 | B60W30/0953 | B60W30/18159 | B60W2050/0006 | B60W30/18163 | B60W30/16,B60W60/00 | B60W50/00 | G06N3/08,toyota,3,到達可能状態推定によるオンライン安全監視(同上[11]の別公開版)
US-2023322254-A1,US,A1,88240711,US-202217715566-A,20231012,20220407,Systems and methods for communicating a blending parameter,"System, methods, and other embodiments described herein relate to communicating a blending parameter. In one embodiment, a method includes obtaining a blending parameter that is indicative of a degree to which control of a vehicle is shared between an operator of the vehicle and an advanced driver-assistance system (ADAS) of the vehicle. The method further includes determining a feedback parameter based upon the blending parameter and a psychophysical model, wherein the psychophysical model optimizes a relationship between the blending parameter and the feedback parameter such that sensory feedback based upon the feedback parameter is perceived to be proportional to the blending parameter. The method further includes causing a feedback modality of a steering apparatus of the vehicle to provide the sensory feedback based upon the feedback parameter.",TOYOTA RES INST INC | TOYOTA MOTOR CO LTD,KUEHNER MANUEL LUDWIG | YASUDA HIROSHI | PITA GIL GUILLERMO,B60W50/16 | B60W30/0953 | B60W10/20 | B60W2510/20 | B60W2555/20 | B60W2540/221 | B60W10/30 | B60W50/16 | B60W30/0953 | B60W10/20 | B60W2510/20 | B60W2555/20 | B60W2540/221 | B60W10/30 | B60W50/16 | B60W2050/0029 | B60W10/20 | B60W2540/18 | B60W30/09 | B60W2050/0008 | B60W2540/221 | B60W50/14 | B60W2050/146 | B60W60/001 | B62D15/0265,B60W50/16 | B60W10/20 | B60W10/30 | B60W30/095,toyota,1,'psychophysical model'誤マッチ(同上[15]の別公開版)
