publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
US-12530625-B2,US,B2,94258957,US-202318377274-A,20260120,20230719,Vehicle occupant health monitoring application,"An example operation includes one or more of accessing, by an application providing assistance to a vehicle, sensor data associated with an environment inside and outside of a vehicle and profile data associated with a vehicle occupant, determining, by the application, an initial condition of the vehicle occupant based on the sensor data and the profile data, responsive to the initial condition being above a health condition threshold, accessing, by the application, health data associated with the vehicle occupant from a mobile device, determining, by the application, an updated condition of the vehicle occupant based on the health data, creating, by the application, an alert to notify the occupant based on the updated condition and one or more current driving conditions of the vehicle identified by the sensor data, and performing, by the vehicle, one or more vehicle actions based on the alert and the one or more current driving conditions.",TOYOTA MOTOR NORTH AMERICA INC | TOYOTA MOTOR CO LTD,ZAHID IMAD | JHA SUMIT K | NAGPAL ANIL | BATIE JOSHUA C | RAJENDRA NIKHIL,G01C21/3874 | G01C21/3896 | G01C21/3841 | B60W2540/043 | B60W2540/215 | B60W2050/146 | B60W2050/143 | B60W2050/009 | B60W50/14 | B60W50/0097 | B60W60/0015 | B60R11/04 | G06V20/597 | B60R21/01532 | G08G1/096783 | G08G1/096716 | G08G1/0125 | H04L1/1809 | H04W76/15 | G08G1/09626 | B60W40/08 | B60W2540/221 | H04W64/003 | G08G1/0116 | G08G1/0112 | G01C21/28 | G01C21/3617 | G08G1/0125 | G08G1/0112 | G06V20/597 | B60R21/01532 | H04W76/15 | G06N20/00 | B60R11/04 | G08G1/0116 | G08G1/096783 | H04W64/003 | G08G1/096716 | B60W2540/043 | B60W2540/221 | B60W2540/215 | G06N20/00 | G08G1/09626 | B60W2540/221 | B60W2540/215 | B60W2540/043 | B60W2050/146 | B60W2050/143 | B60W2050/009 | H04W76/15 | H04W64/003 | H04L1/1809 | G08G1/096783 | G08G1/096716 | G08G1/09626 | G08G1/0125 | G08G1/0116 | G08G1/0112 | G06V20/597 | G01C21/3896 | G01C21/3874 | G01C21/3841 | G01C21/28 | B60W60/0015 | B60W50/14 | B60W50/0097 | B60W40/08 | B60R21/01532 | B60R11/04 | G06N20/00,H04W76/15 | H04W64/00 | H04L1/1809 | G08G1/0967 | G08G1/0962 | G08G1/01 | G06N20/00 | G01C21/28 | G01C21/00 | B60W60/00 | B60W50/14 | B60W50/00 | B60W40/08 | B60R21/015 | B60R11/04 | G06V20/59,toyota,1,「initial condition」は乗員の初期健康状態を指す一般用語で物理シミュレーションと無関係な誤マッチ
US-2025376189-A1,US,A1,91081212,US-202519301734-A,20251211,20221122,Systems and methods for active road surface maintenance with cloud-based mobility digital twin,"An active road surface maintenance system and method developed for connected vehicles with the aid of a mobility digital twin (MDT) framework. A method performed in a cloud-based digital space includes receiving data regarding a physical object from a physical space connected to a vehicle. The method also includes processing the data using machine learning to model road surface conditions, in which respective penalty values are assigned to corresponding road surfaces, a respective penalty value being higher the lower a condition of the corresponding road surface. The method also includes deriving instructions based on the modeled road surface conditions and the respective penalty values to guide actuation of the vehicle along a trajectory. The method further includes transmitting the instructions to the physical space connected to the vehicle to guide actuation of the vehicle.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD,WANG ZIRAN | GUPTA ROHIT | HAN KYUNGTAE,B60K35/00 | B60K35/85 | B60K2360/166 | B60K35/28 | B60K35/22 | B60W2554/20 | B60W2556/10 | B60W2555/20 | B60W2554/4049 | B60W2554/408 | B60W2552/05 | B60W2554/402 | B60W2554/4029 | E01C23/01 | B62D15/029 | B60W2552/05 | B60K2360/592 | B60K2360/166 | B60K35/85 | B60K35/28 | B60K35/22 | E01C23/01 | B60W60/001 | B60W60/001 | B62D15/029 | E01C23/01 | B60W2556/10 | B60W2555/20 | B60W2554/408 | B60W2554/4049 | B60W2554/4029 | B60W2554/402 | B60W2554/20 | B60W2552/05 | B60K2360/166 | B62D15/029 | B60K35/85 | B60K35/28 | B60K35/22 | B60W60/001,E01C23/01 | B62D15/02 | B60K35/85 | B60K35/28 | B60K35/22 | B60W60/00,toyota,2,デジタルツイン+MLで道路面状態をモデル化し車両誘導。予知保全寄りでレアイベント生成ではない
CN-120706031-A,CN,A,97115761,CN-202410345992-A,20250926,20240325,Virtual-actual vehicle simulation method and system based on digital twin and electronic equipment,"The application discloses a virtual-actual vehicle simulation method, a system and electronic equipment based on digital twinning, wherein the method comprises the steps of obtaining first real state information used for representing the vehicle state of a real vehicle and first virtual state information used for representing the vehicle state of a virtual vehicle; the method comprises the steps of predicting the next vehicle state of a real vehicle based on first real state information and first virtual state information to generate a first prediction result, predicting the next vehicle state of a virtual vehicle to generate a second prediction result, adjusting the first real state information based on the first prediction result to generate corresponding second real state information, adjusting the first virtual state information based on the second prediction result to generate corresponding second virtual state information, and sending the second real state information to the virtual vehicle and the second virtual state information to the real vehicle. The method can realize the accurate simulation of the virtual vehicle to the real vehicle by utilizing the digital twin technology.",UNIV TSINGHUA | TOYOTA MOTOR CORP,WANG JIANQIANG | XU QING | HE GUIBO | LIU YU | Cai Mengchi | ZHANG MINJUAN | Tian Dongyan,G06F30/20,G06F30/20,toyota,2,デジタルツインで実車と仮想車両の状態を相互予測・同期。同期精度向上が目的でシナリオ/レアイベント生成ではない
US-2025298935-A1,US,A1,97105500,US-202418612389-A,20250925,20240321,Methods for designing broadband noise and vibration absorbing meta-structures,"A method includes defining a design domain for a meta-element configured to be attached to an edge of thin wall structure with an arbitrary boundary condition, and executing a topological optimization process on the design domain and providing a topology optimized shape for the meta-element. The topological optimization process includes an objective function that minimizes a reflection coefficient of flexural waves in the audible frequency range propagating towards and impinging the meta-element.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD,LI XIAOPENG | LEE TAEHWA,G06F30/17 | G06F30/15 | G06F30/23 | G06F2119/10 | G06F30/20 | G06F2119/10 | G06F30/20 | G06F2119/10 | G06F30/20,G06F119/10 | G06F30/20,toyota,2,境界条件を用いたトポロジー最適化で騒音吸収構造を設計。物理ベースだが設計最適化目的
WO-2025198616-A1,WO,A1,97105500,US-2024029938-W,20250925,20240321,Methods for designing broadband noise and vibration absorbing meta-structures,"A method includes defining a design domain for a meta-element configured to be attached to an edge of thin wall structure with an arbitrary boundary condition, and executing a topological optimization process on the design domain and providing a topology optimized shape for the meta-element. The topological optimization process includes an objective function that minimizes a reflection coefficient of flexural waves in the audible frequency range propagating towards and impinging the meta-element.",TOYOTA MOTOR CO LTD,LI XIAOPENG | LEE TAEHWA,G06F30/17 | G06F30/15 | G06F30/23 | G06F2119/10 | G06F30/20 | G06F2119/10 | G06F30/20,G06F119/10 | G06F30/23 | G06F30/17 | F16F15/02 | G10K11/162,toyota,2,同上(WO版の重複)
US-12415539-B2,US,B2,91081212,US-202217992364-A,20250916,20221122,Systems and methods for active road surface maintenance with cloud-based mobility digital twin,"An active road surface maintenance system and method developed for connected vehicles with the aid of a mobility digital twin (MDT) framework. A method performed in a cloud-based digital space includes receiving data regarding a physical object from a physical space connected to a vehicle. The method also includes processing the data using machine learning to model road surface conditions, in which respective penalty values are assigned to corresponding road surfaces, a respective penalty value being higher the lower a condition of the corresponding road surface. The method also includes deriving instructions based on the modeled road surface conditions and the respective penalty values to guide actuation of the vehicle along a trajectory. The method further includes transmitting the instructions to the physical space connected to the vehicle to guide actuation of the vehicle.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD,WANG ZIRAN | GUPTA ROHIT | HAN KYUNGTAE,B60K35/00 | B60K35/85 | B60K2360/166 | B60K35/28 | B60K35/22 | B60W2554/20 | B60W2556/10 | B60W2555/20 | B60W2554/4049 | B60W2554/408 | B60W2552/05 | B60W2554/402 | B60W2554/4029 | E01C23/01 | B62D15/029 | B60W2552/05 | B60K2360/592 | B60K2360/166 | B60K35/85 | B60K35/28 | B60K35/22 | E01C23/01 | B60W60/001 | B60W60/001 | B62D15/029 | E01C23/01 | B60W2556/10 | B60W2555/20 | B60W2554/408 | B60W2554/4049 | B60W2554/4029 | B60W2554/402 | B60W2554/20 | B60W2552/05 | B60K2360/166 | B60K35/28 | B60K35/22 | B62D15/029 | B60K35/00 | B60W60/001,E01C23/01 | B62D15/02 | B60K35/28 | B60K35/22 | B60K35/00 | B60W60/00,toyota,2,道路面維持のデジタルツイン(重複)
CN-120337477-A,CN,A,96361431,CN-202410055434-A,20250718,20240115,Automatic driving test method and system based on data twinning,"The application discloses an automatic driving test method and system based on data twinning, wherein the method comprises the steps of forming a simulated traffic environment through a digital twinning simulation platform, simulating a simulated traffic participant and a simulated vehicle to be tested which are positioned in the simulated traffic environment, detecting the simulated traffic environment and the simulated vehicle to be tested through sensors of the simulated vehicle to be tested, obtaining detection data, sending an automatic driving instruction to the simulated vehicle to be tested through an automatic driving system based on the detection data, controlling the simulated vehicle to be tested to run in the simulated traffic environment, determining a collision intensity parameter of the collision accident based on impulse of the simulated vehicle to be tested under the condition that the simulated vehicle to be tested has the collision accident, wherein the collision intensity parameter is used for representing the severity of loss caused by the collision accident, and obtaining a test result based on the collision intensity parameter. The test result can more objectively and truly reflect the drivability of the automatic driving system.",TOYOTA MOTOR CORP | UNIV TSINGHUA,WANG SHENGJIN | FAN YIXUAN | DING YUERAN | LI YALI,G06F11/3692 | G06F11/3688 | G06F30/20,G06F11/3668 | G06F30/20,toyota,4,デジタルツインシミュレーションプラットフォームで模擬交通環境を構築し衝突事故を発生させ衝突強度を評価。自動運転のクリティカルイベントテストに合致
US-12358532-B2,US,B2,90360831,US-202217945253-A,20250715,20220915,Systems and methods for online monitoring using a neural model by an automated vehicle,"Systems, methods, and other embodiments described herein relate to estimating reachable states for a vehicle using a neural model. In one embodiment, a method includes generating an unverified command by a first controller and a safety command by a second controller for a projected path by an automated driving system (ADS) associated with a vehicle. The method also includes estimating reachable states by a neural network (NN) model that uses the unverified command and an initial condition for the vehicle, the reachable states representing positions and orientations for the vehicle within a bounded time and a state space associated with the initial condition and the projected path. The method also includes, upon determining that the reachable states satisfy collision criteria, executing by the vehicle a maneuver with the safety command for the projected path and generating subsequent commands using vehicle data from the first controller and the second controller.",TOYOTA ENG & MFG NORTH AMERICA | TOYOTA MOTOR CO LTD | UNIV NEWCASTLE,HOXHA BARDH | YAMAGUCHI TOMOYA | HEKAL ABDELRAHMAN | BOGOMOLOV SERGIY,B60W30/0953 | B60W2552/05 | B60W2520/10 | B60W30/18163 | B60W2554/802 | B60W2510/20 | B60W50/0097 | B60W50/0098 | G06N3/08 | B60W30/16 | B60W30/18163 | B60W2050/0006 | B60W30/18159 | B60W30/0953 | B60W30/09 | B60W60/0015 | G06N3/08 | B60W60/0015 | G06N3/045 | B60W2554/802 | B60W2552/05 | B60W2520/10 | B60W2510/20 | B60W30/18163 | B60W30/0953 | G06N3/08 | B60W50/0098 | B60W50/0097 | B60W60/0015,G06N3/08 | B60W50/00 | B60W30/18 | B60W30/095 | B60W60/00,toyota,3,ニューラルモデルで到達可能状態を推定し衝突基準判定するオンライン安全監視
US-2025131774-A1,US,A1,95401660,US-202318491127-A,20250424,20231020,Systems and methods for verifying vehicle data,"Systems and methods for verifying vehicle data are disclosed. In one aspect, a method includes clustering a plurality of vehicle types into a plurality of vehicle clusters based at least in part on vehicle characteristics, receiving vehicle data from a vehicle, assigning the vehicle to an individual vehicle cluster of the vehicle clusters, determining one or more digital twins also assigned to the individual cluster, comparing the vehicle data of the vehicle with vehicle data associated with the one or more digital twins, verifying the vehicle data when there is no discrepancy between the vehicle data of the vehicle and the vehicle data associated with the one or more digital twins, and adjusting the vehicle data when there is a discrepancy between the vehicle data of the vehicle and the vehicle data associated with the one or more digital twins.",TOYOTA MOTOR CO LTD,LERNER EMILY,B60W60/001 | G07C5/008 | B60W60/001 | G07C5/008 | B60W60/001 | G07C5/008,B60W60/00 | G07C5/00,toyota,2,デジタルツインとの比較でデータ検証・異常検知。レアイベント生成ではない
US-2025029488-A1,US,A1,94258957,US-202318377274-A,20250123,20230719,Vehicle occupant health monitoring application,"An example operation includes one or more of accessing, by an application providing assistance to a vehicle, sensor data associated with an environment inside and outside of a vehicle and profile data associated with a vehicle occupant, determining, by the application, an initial condition of the vehicle occupant based on the sensor data and the profile data, responsive to the initial condition being above a health condition threshold, accessing, by the application, health data associated with the vehicle occupant from a mobile device, determining, by the application, an updated condition of the vehicle occupant based on the health data, creating, by the application, an alert to notify the occupant based on the updated condition and one or more current driving conditions of the vehicle identified by the sensor data, and performing, by the vehicle, one or more vehicle actions based on the alert and the one or more current driving conditions.",TOYOTA MOTOR NORTH AMERICA INC | TOYOTA MOTOR CO LTD,ZAHID IMAD | JHA SUMIT K | NAGPAL ANIL | BATIE JOSHUA C | RAJENDRA NIKHIL,G01C21/3617 | G08G1/0125 | G08G1/0112 | G06V20/597 | B60R21/01532 | H04W76/15 | G06N20/00 | B60R11/04 | G08G1/0116 | G08G1/096783 | H04W64/003 | G08G1/096716 | B60W2540/043 | B60W2540/221 | B60W2540/215 | G08G1/09626 | G01C21/3874 | G01C21/3896 | G01C21/3841 | B60W2540/043 | B60W2540/215 | B60W2050/146 | B60W2050/143 | B60W2050/009 | B60W50/14 | B60W50/0097 | B60W60/0015 | B60R11/04 | G06V20/597 | B60R21/01532 | G08G1/096783 | G08G1/096716 | G08G1/0125 | H04L1/1809 | H04W76/15 | G08G1/09626 | B60W40/08 | B60W2540/221 | H04W64/003 | G08G1/0116 | G08G1/0112 | G01C21/28 | G06N20/00 | B60W2540/221 | B60W40/08 | G08G1/09626,B60W40/08 | G08G1/0962,toyota,1,乗員健康モニタリング(重複)。誤マッチ
