publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
US-2026105214-A1,US,A1,-1,US-202418916014-A,20260416,,Method and system for training a car parts detector on synthetic dataset,"A method may include selecting one or more virtual car parts, selecting initial positions and initial orientations for the selected one or more virtual car parts in a virtual container, determining resting positions and resting orientations for the selected one or more virtual car parts in the virtual container based on the initial positions, the initial orientations, and a physics simulation, generating an image of the selected one or more virtual car parts in the virtual container at the resting positions and the resting orientations, and generating training data including the generated image as one training example.",,,G06F30/15 | G06F30/27,G06F30/15 | G06F30/27,general,3,仮想部品配置に物理シミュレーションを用い訓練用画像データを生成。物理ベースの合成訓練データ生成に合致
US-2026104681-A1,US,A1,-1,US-202519360591-A,20260416,,Reinforcement Learning System for Optimizing Selective Extraction of Lithium from Brines,"According to one or more embodiments, a method, computer system, and computer program product for optimizing extraction of lithium through reinforcement learning are provided. The method may include receiving measurement data from one or more sensors corresponding to a current set of operational parameters associated with a direct lithium extraction process in one or more columns. A physical simulation of the direct lithium extraction process is generated based on the received measurement data and the current set of operational parameters. A set of optimal operational parameters for the one or more columns is identified based on the generated physical simulation. The identified set of optimal operational parameters is configured to maximize extraction of lithium through the direct lithium extraction process. The current set of operational parameters is adjusted based on the identified set of optimal operational parameters.",,,G06F30/27 | G05B13/042,G06F30/27 | G05B13/04,general,2,強化学習+物理シミュレーションでリチウム抽出プロセスを最適化。プロセス最適化目的でレアイベント生成ではない
US-2026105218-A1,US,A1,-1,US-202319120774-A,20260416,20221028,Systems and methods for engineering optimization using quantum computing,"Methods and systems herein may solve engineering problems, such as multiphysics problems as design optimization problems, using quantum computing. Such quantum computing may utilize a quantum computing system, which may include a classical computing processor and a quantum processor. The classical computing processor may be configured to provide instructions to and receive output from the quantum processor. The quantum processor may comprise one or more quantum bits manipulated and measured by a quantum bit interface module. Input and a model comprising a quantum algorithm for an engineering problem may be used by the classical computing processor to generate quantum input for the quantum processor, which may operate using the quantum input, and quantum output may be returned to the classical computing processor to determine the output of the engineering model. In some implementations, an error may be determined and an error correction applied to the engineering model.",,,G06N10/80 | G06N10/60 | G06N10/20 | G06F30/27,G06N10/80 | G06N10/60 | G06N10/20 | G06F30/27,general,1,量子計算によるマルチフィジックス設計最適化。レアイベント生成と無関係
US-12602527-B2,US,B2,-1,US-202519354769-A,20260414,,Autonomous simulated testing and benchmarking framework for agentic AI systems,"A computer-implemented method and system are disclosed for simulation-based testing and benchmarking of an agentic artificial intelligence (AI) system. The method comprises binding a simulation agent to one or more tool-access interfaces of the agentic AI system to replace external tools, intercepting requests emitted through the interfaces, and generating protocol-compliant responses using synthetic data and a simulated environment. The simulation agent executes healthy and fault-inserted task runs within the synthetic environment and generates a performance vector comprising task-completion rate, accuracy, efficiency, resilience, and fault-recovery metrics. The system is configured for maintaining a simulation registry, orchestrating resource allocation using reinforcement-learning policies, and applying an autonomous feedback pipeline for continuous refinement. In some embodiments, the simulation agent operates in a stealth observation mode to train surrogate tool models, enabling privacy-compliant, closed-loop simulation.",,,G06F30/13 | G06F30/27,G06F30/27 | G06F30/13 | G06F7/48,general,3,エージェント型AIのシミュレーションテスト基盤。正常+故障挿入タスクを合成環境で実行しレジリエンス評価。fault injectionに近い
CN-121480393-B,CN,B,98625875,CN-202610023979-A,20260410,20260109,Method for predicting multi-component spatial distribution in transformer,"The invention discloses a multi-component spatial distribution prediction method in a transformer, which relates to the technical field of monitoring of the running state of power equipment, and comprises the steps of firstly constructing a multi-gas component transportation physical simulation model of transformer oil based on fluid simulation software, and configuring an observation system mapped with the position of an actual sensor; the method comprises the steps of constructing a time sequence error matrix of actual observation and simulation prediction, dividing the time sequence error matrix into a training set and a verification set, generating a dynamic B matrix by utilizing an LSTM network on the basis, fusing simulation data with real-time sensor observation data through an EnKF algorithm to realize dynamic updating and error correction of a simulation model, assisting an adaptive step length regulation and abnormality processing mechanism in a data assimilation process, and finally dynamically displaying the spatial distribution of each gas component in an oil tank in various forms. The invention effectively solves the problems of space limitation, static simulation prediction error accumulation and the like of the traditional monitoring, and realizes accurate and dynamic prediction of the spatial distribution of multiple gas components in the transformer.",,,G06F2119/14 | G06F2113/08 | G06F2111/04 | G06N3/08 | G06N3/0442 | G06F30/27 | G06F30/28 | G01D21/02 | G01N33/0004,G06N3/08 | G06N3/0442 | G06F119/14 | G06F113/08 | G06F111/04 | G06F30/27 | G01N33/00 | G01D21/02 | G06F30/28,general,1,変圧器内多成分分布予測の物理シミュレーション+データ同化。監視目的でレアイベント生成ではない
CN-119202581-B,CN,B,94051417,CN-202411209932-A,20260410,20240830,"Black start evaluation method for wind power generation system, computer equipment and related devices","The invention relates to the technical field of electric power and discloses a black start evaluation method of a wind power generation system, computer equipment and related devices, wherein the black start evaluation method of the wind power generation system comprises the steps of obtaining a black start simulation data set, wherein the black start simulation data set comprises normal simulation data when the wind power generation system is normal and fault simulation data when the wind power generation system is faulty; training an initial SVDD model by using a black start simulation data set, respectively training to obtain a first SVDD model describing normal simulation data and a second SVDD model describing fault simulation data, obtaining a first spherical center distance of the first SVDD model and a second spherical center distance of the second SVDD model, inputting data to be detected of the wind power generation system into the first SVDD model and the second SVDD model to obtain a target distance, and evaluating the state of the wind power generation system based on the target distance, the first spherical center distance and the second spherical center distance. The invention can fully utilize the simulation data and improve the accuracy of black start evaluation.",,,H02J2103/30 | H02J2101/28 | H02J2103/35 | G06Q50/06 | G06F30/27 | G06F18/217 | G06F18/241 | G06F18/20 | H02J3/28 | H02J3/466,H02J103/35 | H02J101/28 | H02J3/466 | H02J3/28 | G06Q50/06 | G06F30/27 | G06F18/241 | G06F18/21 | G06F18/20,general,3,風力発電のブラックスタート評価。正常/故障シミュレーションデータでSVDDモデルを訓練。故障データ生成の好例(非自動運転)
CN-115600339-B,CN,B,84849288,CN-202211290560-A,20260410,20221021,Method and system for defining effective analysis frequency band of engineering structure,"The invention relates to a method and a system for defining an effective analysis frequency band of an engineering structure, which are used for selecting important parameters and defining a range of statistical energy analysis of a target system, wherein the important parameters comprise a modal number, a modal overlapping factor, a normalized attenuation factor and coupling strength, carrying out dimensional analysis by combining vibration characteristics and boundary conditions of the target system to obtain dimensionless parameters with corresponding relations with the important parameters, comprising dimensionless wave numbers, shape parameters, damping loss factors and Poisson ratios, constructing a statistical energy analysis effective graph of each subsystem according to a corresponding relation between the dimensionless parameters and the important parameters so as to describe the distribution condition of the important parameters in a dimensionless parameter space, analyzing the statistical energy analysis effective graph to obtain the dimensionless wave number value range of each subsystem, and then combining the coupling relations to obtain the effective frequency band of the target system. The method has the advantages of being quick, visual, accurate and the like, and is beneficial to improving the high-frequency dynamic response prediction precision of the engineering structure.",,,G06F2119/14 | G06F2111/10 | G06F30/20 | G06F30/17,G06F119/14 | G06F111/10 | G06F30/20 | G06F30/17,general,1,工学構造の有効解析周波数帯域定義。境界条件はあるが設計解析目的
CN-120911254-B,CN,B,97541523,CN-202510961453-A,20260410,20250714,Assembly process error modeling method based on physical information neural network,"The invention designs an assembly process error modeling method based on a physical information neural network, which realizes the rapid and accurate calculation of the stress deformation of an assembly joint surface in the assembly process of parts. In the assembly process of parts, the force in the assembly process is an important factor affecting the assembly accuracy. In order to rapidly and accurately predict the stress deformation amount in the assembly process of the parts and improve the assembly precision, the patent constructs a prediction model of the stress deformation of the assembly joint surface of the parts based on a physical information neural network. Based on the fully connected neural network structure, boundary conditions are embedded as loss terms to participate in training. By minimizing the loss function, the model learns the rule of the stress deformation of the assembly joint surface, and the mapping relation between physical quantities such as point coordinates, point displacement and the like is obtained, so that the rapid prediction of the stress deformation of the assembly joint surface is realized.",,,Y02P90/30 | G06F2119/14 | G06F17/13 | G06F17/11 | G06N3/0499 | G06N3/006 | G06F30/27,G06N3/0499 | G06N3/006 | G06F119/14 | G06F17/13 | G06F17/11 | G06F30/27,general,2,物理情報ニューラルネットによる組立誤差モデリング。境界条件を損失項に組込むが評価目的
CN-116339170-B,CN,B,86875851,CN-202310316935-A,20260410,20230329,Coal-fired furnace hearth semi-physical simulation system based on RT-LAB,"The present invention discloses a semi physical simulation system for coal-fired furnace based on RT-LAB, which relates to the field of coal-fired furnace simulation technology. A high-precision, adaptable, and predictive coal-fired boiler furnace simulation system is developed. Through real-time simulation and testing, the adverse effects that may occur when the induced draft fan works abnormally on the operation of the boiler furnace are studied, which solves the problem of inaccurate simulation of major abnormal accident conditions in coal-fired boilers and provides a platform support and theoretical basis for information security protection of DCS control systems.",,,Y02P90/02 | G05B17/02,G05B17/02,general,3,石炭火力炉の半物理シミュレーションで誘引ファン異常時の炉運転への影響を研究。異常事故条件のシミュレーションに合致
CN-116578011-B,CN,B,87544744,CN-202310523941-A,20260410,20230511,Ship control surface load simulation system,"The invention discloses a ship control surface load simulation system, and belongs to the field of electrohydraulic servo control and semi-physical simulation. Comprises a steering engine system and a load simulation system. The problem that the active motion of a steering engine system seriously affects the loading performance of a load simulator in the loading process of the existing electrohydraulic load simulator is solved, namely the problem of redundant force. The invention adopts hydraulic loading to simulate the seawater hydrodynamic force borne by the control surface of the ship, the loading force is not influenced by the redundant force, and the control strategy does not need to consider the problem of the redundant force compensation, so that the complexity of the control strategy is reduced, and the method is simple and reliable. The invention solves the problem of low loading precision caused by redundant force in the electrohydraulic load simulator, and has scientific and reasonable structure.",,,Y02T90/00 | G05B17/02,G05B17/02,general,2,船舶操舵面荷重の半物理シミュレーション。試験検証目的でレアイベント生成ではない
